date,revenue,firm
1/19/2015,10133,4795sd7
1/19/2015,7639,2864sd7
1/19/2015,7339,5471sd7
1/19/2015,6691,2983sd7
1/19/2015,4964,4597sd7
1/19/2015,4820,9520sd7
1/19/2015,4372,5743sd7
1/19/2015,4236,4140sd7
1/19/2015,4088,7758sd7
1/19/2015,4068,7772sd7
1/19/2015,3878,9017sd7
1/19/2015,3548,7772sd7
1/19/2015,3445,9327sd7
1/19/2015,3380,2974sd7
1/19/2015,2912,5258sd7
1/19/2015,2743,4245sd7
1/19/2015,2534,8354sd7
1/19/2015,2525,9481sd7
1/19/2015,2299,3300sd7
1/19/2015,2291,9327sd7
1/19/2015,2095,2989sd7
1/19/2015,2057,2848sd7
1/19/2015,2045,2858sd7
1/19/2015,1946,3213sd7
1/19/2015,1888,2983sd7
1/19/2015,1855,3007sd7
1/19/2015,1777,7670sd7
1/19/2015,1767,3300sd7
1/19/2015,1765,5751sd7
1/19/2015,1740,3862sd7
1/19/2015,1689,3929sd7
1/19/2015,1688,9472sd7
1/19/2015,1662,6661sd7
1/19/2015,1588,6858sd7
1/19/2015,1584,3378sd7
1/19/2015,1546,3743sd7
1/19/2015,1545,5549sd7
1/19/2015,1541,2848sd7
1/19/2015,1364,5146sd7
1/19/2015,1350,5868sd7
1/19/2015,1345,3300sd7
1/19/2015,1331,3569sd7
1/19/2015,1330,2848sd7
1/19/2015,1291,6226sd7
1/19/2015,1284,4331sd7
1/19/2015,1278,2848sd7
1/19/2015,1242,4293sd7
1/19/2015,1187,4381sd7
1/19/2015,1184,6386sd7
1/19/2015,1135,6607sd7
1/19/2015,1120,2848sd7
1/19/2015,1109,8752sd7
1/19/2015,1108,5024sd7
1/19/2015,1024,3245sd7
1/19/2015,1022,2827sd7
1/19/2015,1006,4414sd7
1/19/2015,987,2850sd7
1/19/2015,985,2848sd7
1/19/2015,972,5739sd7
1/19/2015,966,7176sd7
1/19/2015,960,7761sd7
1/19/2015,959,4835sd7
1/19/2015,942,2860sd7
1/19/2015,941,2848sd7
1/19/2015,927,8855sd7
1/19/2015,916,5146sd7
1/19/2015,891,4505sd7
1/19/2015,886,5743sd7
1/19/2015,877,5282sd7
1/19/2015,875,8824sd7
1/19/2015,864,6457sd7
1/19/2015,857,8991sd7
1/19/2015,847,3046sd7
1/19/2015,845,3067sd7
1/19/2015,837,5146sd7
1/19/2015,823,5133sd7
1/19/2015,819,2989sd7
1/19/2015,810,2989sd7
1/19/2015,801,3007sd7
1/19/2015,798,7366sd7
1/19/2015,761,9238sd7
1/19/2015,759,4106sd7
1/19/2015,751,4178sd7
1/19/2015,747,2848sd7
1/19/2015,746,5496sd7
1/19/2015,725,2939sd7
1/19/2015,706,3672sd7
1/19/2015,691,3001sd7
1/19/2015,682,5586sd7
1/19/2015,676,3302sd7
1/19/2015,676,2939sd7
1/19/2015,673,4713sd7
1/19/2015,670,4055sd7
1/19/2015,668,5520sd7
1/19/2015,666,5310sd7
1/19/2015,649,3435sd7
1/19/2015,647,3046sd7
1/19/2015,634,2848sd7
1/19/2015,623,2827sd7
1/19/2015,607,5038sd7
1/19/2015,603,2819sd7
1/19/2015,596,3301sd7
1/19/2015,596,8305sd7
1/19/2015,573,2976sd7
1/19/2015,572,9509sd7
1/19/2015,569,5549sd7
1/19/2015,560,2850sd7
1/19/2015,558,3666sd7
1/19/2015,553,4505sd7
1/19/2015,552,2848sd7
1/19/2015,551,4835sd7
1/19/2015,548,2983sd7
1/19/2015,538,9479sd7
1/19/2015,537,3205sd7
1/19/2015,531,2989sd7
1/19/2015,525,3048sd7
1/19/2015,525,5038sd7
1/19/2015,523,4257sd7
1/19/2015,523,9317sd7
1/19/2015,517,2983sd7
1/19/2015,516,2848sd7
1/19/2015,516,3046sd7
1/19/2015,513,3213sd7
1/19/2015,500,3105sd7
1/19/2015,497,5953sd7
1/19/2015,493,5586sd7
1/19/2015,492,4550sd7
1/19/2015,480,3661sd7
1/19/2015,472,5249sd7
1/19/2015,466,3007sd7
1/19/2015,457,2983sd7
1/19/2015,452,2983sd7
1/19/2015,449,9455sd7
1/19/2015,448,3874sd7
1/19/2015,442,2827sd7
1/19/2015,437,3213sd7
1/19/2015,435,5038sd7
1/19/2015,433,4938sd7
1/19/2015,430,3090sd7
1/19/2015,428,3723sd7
1/19/2015,428,6276sd7
1/19/2015,424,2848sd7
1/19/2015,424,8725sd7
1/19/2015,423,2848sd7
1/19/2015,420,3857sd7
1/19/2015,420,4217sd7
1/19/2015,417,2976sd7
1/19/2015,412,4941sd7
1/19/2015,408,6650sd7
1/19/2015,407,4383sd7
1/19/2015,10468,4795sd7
1/19/2015,4026,7772sd7
1/19/2015,3042,5743sd7
1/19/2015,2893,7758sd7
1/19/2015,2601,7772sd7
1/19/2015,2444,4140sd7
1/19/2015,2422,2983sd7
1/19/2015,2014,4245sd7
1/19/2015,1873,2974sd7
1/19/2015,1814,3929sd7
1/19/2015,1742,2864sd7
1/19/2015,1485,2983sd7
1/19/2015,1383,3007sd7
1/19/2015,1208,6226sd7
1/19/2015,1175,5471sd7
1/19/2015,1162,3300sd7
1/19/2015,1131,2983sd7
1/19/2015,1051,2983sd7
1/19/2015,1038,5751sd7
1/19/2015,1038,4331sd7
1/19/2015,1008,2989sd7
1/19/2015,1003,9479sd7
1/19/2015,976,2848sd7
1/19/2015,952,5258sd7
1/19/2015,939,3213sd7
1/19/2015,939,3007sd7
1/19/2015,877,9017sd7
1/19/2015,865,5520sd7
1/19/2015,861,3743sd7
1/19/2015,845,4505sd7
1/19/2015,842,5739sd7
1/19/2015,821,6989sd7
